Policy ID,Lapse
PID_4928TWH,0.150062033
PID_KBLLEGK,5.37E-06
PID_90F0QA3,2.35E-05
PID_18F3NHF,0.768771761
PID_SX4QUVO,0.280968475
PID_TU5BFPR,0.310260103
PID_WLKPNBI,0
PID_WJJ0O09,0.802260176
PID_8GYR0BI,0.285546821
PID_S2LWT7E,5.37E-06
PID_SJMOS1D,8.51E-06
PID_7WCQC27,2.35E-05
PID_SPCQJ1K,0.568753101
PID_P8VLKT7,0.230025011
PID_71C0MWB,0
PID_RYR0SVX,0.67991391
PID_QC1RYSQ,0.95500245
PID_A06YOH1,0.157740685
PID_7CENWWS,0
PID_RA28BWC,0.947439061
PID_8G3Z646,0.278293368
PID_0AOTABJ,0.195272419
PID_PURXM81,0
PID_2OZ33GW,0.224577702
PID_YPYFRUG,3.30E-06
PID_ZMTQ112,0.004639209
PID_IGO1OBG,0.008671983
PID_D5WUS3Y,0.158900562
PID_K1H0CE1,5.37E-06
PID_IE9WGLN,2.38E-05
PID_TUF2RYA,0
PID_RS6IVNO,0
PID_Y1XLAQA,0
PID_XYZF5R0,0.182381338
PID_8UDWR8I,0.182757021
PID_B7KWJVR,0
PID_QX210WC,0.088007669
PID_EY0IR7Q,0.135048564
PID_CSLCV4S,0.20919784
PID_9260TJI,0.189662096
PID_JDUP62T,2.38E-05
PID_ETGO7UZ,2.35E-05
PID_LB7J0ZV,0.046987858
PID_VK5HY24,0
PID_AVXTMLL,0.156145199
PID_E2937R5,0.184786359
PID_X44RL44,8.67E-06
PID_SVY3SHN,0.267427017
PID_DGNC3NK,0.378606251
PID_Z2GXBKG,0.15486396
PID_ZXBXQ3J,0.312603272
PID_R8VTUP8,0.240351076
PID_AKW9DXT,2.35E-05
PID_X80214X,0.281269794
PID_1V02PHZ,2.38E-05
PID_41TIL7I,0.193574125
PID_3W6KRNN,0.199010528
PID_AS4LOC9,2.35E-05
PID_DZ6ORUI,0.381630673
PID_6X98B9L,0.000484468
PID_UW2GB04,0
PID_6PNA9K9,0
PID_723WPIR,0.243113199
PID_E05BF6O,0.263519072
PID_LJYXUFF,0.286917083
PID_TU37QCG,2.92E-05
PID_VA244YE,2.38E-05
PID_G55RZRA,0.220848907
PID_DTEGGWH,0.350942925
PID_CBKRFEU,0.12270755
PID_YZRYG67,2.97E-05
PID_7RNPY9F,0.22680773
PID_590186H,2.35E-05
PID_GFXRHW2,0.002919862
PID_D88JBQA,0.460931673
PID_X3XH0ZA,0.201643912
PID_VDCW79S,0.169831077
PID_R13GW14,0.191353582
PID_GG7CO9T,0.280968475
PID_VEGETGP,0.2810809
PID_FF6DBHD,0.265590469
PID_K5TT3O5,0.175126343
PID_7BN8ALJ,0
PID_781HX4Q,0
PID_VCXSGF0,0.292860281
PID_WS27GNU,3.02E-05
PID_STX9L27,2.35E-05
PID_HO1Y2NJ,0.094742311
PID_0HXX5KW,0.260893653
